,Name,Country,Type_B&F,Mat_B&F,Inns_B&F,NO_B&F,Runs_B&F,HS_B&F,Ave_B&F,BF_B&F,SR_B&F,100_B&F,50_B&F,4s_B&F,6s_B&F,Ct_B&F,St_B&F,Mat_Bowl,Inns_Bowl,Balls_Bowl,Runs_Bowl,Wkts_Bowl,BBI_Bowl,BBM_Bowl,Ave_Bowl,Econ_Bowl,SR_Bowl,4w_Bowl,5w_Bowl,10_Bowl
0,Jason Behrendorff RSS Feed,australia,ODIs,11,5,3,19,11*,9.50,15,126.66,0,0,0,0,3,0,11,11,591,517,16,5/44,5/44,32.31,5.24,36.9,0,1,0
1,Tim Paine RSS Feed,australia,ODIs,35,35,3,890,111,27.81,1257,70.8,1,5,96,6,51,4,35,-,-,-,-,-,-,-,-,-,-,-,-
0,Marcus Stoinis RSS Feed,australia,ODIs,41,38,7,1050,146*,33.87,1143,91.86,1,6,89,36,12,0,41,39,1414,1446,33,3/16,3/16,43.81,6.13,42.8,0,0,0
1,Usman Khawaja RSS Feed,australia,ODIs,40,39,2,1554,104,42.0,1848,84.09,2,12,150,13,13,0,40,-,-,-,-,-,-,-,-,-,-,-,-
0,Adam Zampa RSS Feed,australia,ODIs,48,20,5,100,22,6.66,159,62.89,0,0,6,1,10,0,48,48,2480,2363,65,4/43,4/43,36.35,5.71,38.1,1,0,0
1,Josh Hazlewood RSS Feed,australia,ODIs,44,13,11,37,11*,18.50,57,64.91,0,0,6,0,13,0,44,43,2294,1811,72,6/52,6/52,25.15,4.73,31.8,1,3,0
1,David Warner RSS Feed,australia,ODIs,116,114,5,4990,179,45.77,5222,95.55,17,20,520,78,53,0,116,1,6,8,0,-,-,-,8.00,-,0,0,0
1,Steven Smith RSS Feed,australia,ODIs,118,104,12,3810,164,41.41,4414,86.31,8,23,322,33,65,0,118,39,1070,963,28,3/16,3/16,34.39,5.4,38.2,0,0,0
0,Ashton Turner RSS Feed,australia,ODIs,3,3,1,125,84*,62.5,86,145.34,0,1,8,8,1,0,3,-,-,-,-,-,-,-,-,-,-,-,-
1,Mitchell Marsh RSS Feed,australia,ODIs,53,49,9,1428,102*,35.7,1534,93.08,1,11,120,37,25,0,53,50,1700,1564,44,5/33,5/33,35.54,5.52,38.6,1,1,0
1,Jhye Richardson RSS Feed,australia,ODIs,12,7,2,68,29,13.6,84,80.95,0,0,4,0,4,0,12,12,648,632,24,4/26,4/26,26.33,5.85,27.0,1,0,0
1,Pat Cummins RSS Feed,australia,ODIs,58,35,12,234,36,10.17,328,71.34,0,0,18,3,13,0,58,58,3033,2603,96,5/70,5/70,27.11,5.14,31.5,5,1,0
0,Kane Richardson RSS Feed,australia,ODIs,22,10,5,51,19,10.2,56,91.07,0,0,3,3,7,0,22,22,1143,1061,34,5/68,5/68,31.2,5.56,33.6,0,1,0
1,Mitchell Starc RSS Feed,australia,ODIs,85,46,18,348,52*,12.42,389,89.46,0,1,26,9,22,0,85,85,4315,3611,172,6/28,6/28,20.99,5.02,25.0,11,7,0
1,Nathan Lyon RSS Feed,australia,ODIs,29,14,10,77,30,19.25,83,92.77,0,0,7,2,7,0,29,29,1626,1334,29,4/44,4/44,46.0,4.92,56.0,1,0,0
