,ACCESS_METHOD_ID_,IsWeekDay_,Period_,CALL_DURATION_sum,CALL_DURATION_max,CALL_DURATION_min,CALL_DURATION_mean,NO_OF_CALLS_sum,NO_OF_CALLS_max,NO_OF_CALLS_min,NO_OF_CALLS_mean
188,-11520605,1,evening,3,2,1,1.5,2,1,1,1
189,-11520605,1,morning,9,9,9,9,1,1,1,1
190,-11520502,0,afternoon,47,18,2,11.75,4,1,1,1
191,-11520502,0,evening,54,23,3,10.8,5,1,1,1
192,-11520502,1,afternoon,172,52,1,19.11,9,1,1,1
193,-11520502,1,evening,181,40,1,12.07,16,2,1,1.066
194,-11520502,1,morning,41,21,5,13.664,3,1,1,1
195,-11520359,1,afternoon,6,1,1,1,6,1,1,1
196,-11520359,1,evening,3,1,1,1,3,1,1,1
197,-11518565,0,evening,3,3,3,3,1,1,1,1
198,-11518565,1,afternoon,3,1,1,1,3,1,1,1
199,-11518565,1,evening,1,1,1,1,1,1,1,1
200,-11518014,0,afternoon,12,3,1,1.2,10,1,1,1
201,-11518014,0,evening,3,2,1,1.5,2,1,1,1
202,-11518014,0,morning,8,2,1,1.143,7,1,1,1
203,-11518014,1,afternoon,26,9,1,1.529,19,2,1,1.117
204,-11518014,1,evening,39,6,1,1.5,28,2,1,1.077
205,-11518014,1,morning,41,3,1,1.464,34,3,1,1.214
206,-11518014,1,night,3,2,1,1.5,3,2,1,1.5
207,-11516954,0,evening,3,1,1,1,3,1,1,1
208,-11516954,1,afternoon,37,15,1,5.285,7,1,1,1
209,-11516954,1,evening,24,13,1,4.8,11,6,1,2.2
210,-11516954,1,morning,10,3,1,1.25,9,2,1,1.125
211,-11515017,0,afternoon,14,13,1,7,2,1,1,1
212,-11515017,0,evening,16,11,1,5.332,3,1,1,1
213,-11515017,0,morning,146,37,1,8.11,25,3,1,1.389
214,-11515017,1,afternoon,315,60,1,7.324,48,2,1,1.116
215,-11515017,1,evening,16,8,1,4,5,2,1,1.25
216,-11515017,1,morning,129,23,1,4.605,35,4,1,1.25
217,-11514039,0,evening,4,2,1,1.333,4,2,1,1.333
218,-11514039,1,afternoon,12,2,1,1.2,11,2,1,1.1
219,-11514039,1,morning,13,2,1,1.3,11,2,1,1.1
220,-11513671,0,afternoon,6,5,1,3,2,1,1,1
221,-11513671,0,evening,1,1,1,1,1,1,1,1
222,-11513671,0,morning,2,2,2,2,1,1,1,1
223,-11513671,1,afternoon,131,29,1,3.969,45,5,1,1.363
224,-11513671,1,evening,94,14,1,3.615,37,4,1,1.423
225,-11513671,1,morning,79,8,1,2.258,38,2,1,1.086
226,-11512672,0,afternoon,347,70,1,15.77,35,5,1,1.591
227,-11512672,0,evening,597,80,1,14.21,96,8,1,2.285
228,-11512672,0,morning,387,63,1,16.83,30,3,1,1.305
229,-11512672,0,night,48,48,48,48,1,1,1,1
230,-11512672,1,afternoon,1059,53,1,12.914,120,4,1,1.464
231,-11512672,1,evening,1542,81,1,13.89,205,6,1,1.847
232,-11512672,1,morning,1139,72,1,17.25,128,10,1,1.939
233,-11511366,1,afternoon,14,5,1,2,8,2,1,1.143
234,-11511366,1,evening,13,11,1,4.332,6,4,1,2
235,-11508676,0,afternoon,29,18,1,5.8,5,1,1,1
236,-11508676,0,evening,11,9,1,3.666,3,1,1,1
237,-11508676,0,morning,5,3,1,1.667,3,1,1,1
238,-11508676,0,night,3,3,3,3,2,2,2,2
239,-11508676,1,afternoon,120,51,1,9.234,15,2,1,1.154
240,-11508676,1,evening,63,17,1,9,10,3,1,1.429
241,-11508676,1,morning,98,60,1,10.89,10,2,1,1.111
242,-11506861,1,afternoon,97,27,1,4.617,31,4,1,1.477
243,-11506861,1,evening,45,23,1,5.625,8,1,1,1
244,-11506861,1,morning,63,13,1,6.3,10,1,1,1
