allegiance,alma mater,awards,based in,battles/wars,born,cabinet,cause of death,chief minister of punjab (pakistan),children,citizenship,civilian awards,commands,committees,died,domestic partner,education,father,known for,military awards,mother,national awards,nationality,net worth,nickname(s),notable awards,occupation,other politicalaffiliations,other names,parents,period in office,political party,portfolio,post,post-retirement work,predecessor,profession,rank,relations,relatives,religion,residence,resting place,s/no.,salary,school,service/branch,spouse,spouse(s),unit,website,years of service
,,,,,,,,,,,,,,,,,,,,,,pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,london school of economics,hilal-e-imtiaz (2002),,,15 november 1952 (age 65)lahore| punjab| pakistan,,,,,,,,,,,,,,,,, pakistan,,,,diplomat| strategist| academician,,,,,,,,,,,,,,,,,,,,,,,,,
,london school of economics,hilal-e-imtiaz (2002),,,15 november 1952 (age 65)lahore| punjab| pakistan,,,,,,,,,,,,,,,,, pakistan,,,,diplomat| strategist| academician,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,april 14| 1944,,,,,,,,,october 16| 2017,,,,,,,,,,,,,,,,,,,,,,diplomat| lawyer| author| speaker| humanitarian,,,,,,,,,,,,,,,
,,,,,(1910-01-09)9 january 1910[2],,,,,,,,,4 october 1987(1987-10-04) (aged 77)[3],,,,,,,,,,,,,,,,,all-india muslim league(before 1947)muslim league (1947–1958),,,,,,,,,,,,,,,,,,,,
,aitchison college lahorecambridge university,,,, (1954-02-15) february 15| 1954 (age 64)saidu sharif| swat (princely state)| kpk,,,,,,,,,,,,,,,,,pakistani,,,,diplomat,,,miangul alamzeb,,,,,,,,,miangul jahan zeb(grandfather)miangul aurangzeb(father-in-law)zebun nisa jilani (sister),,,pakistan,,,,,,,fakhri akbarzeb,,,
,university of calcutta(b.a. in polysci),,,,shahebzada mohammad ali bogra(1909-10-19)19 october 1909barisal| bengal presidency| british india(now in bangladesh),ayub administration,,,, british india(1909–1947) pakistan (1947–1963),,,,23 january 1963(1963-01-23) (aged 53)dacca| east pakistan| pakistan(now dhaka| bangladesh),,,,,,,,bengali,,,,,,,,,pakistan muslim league,,,,,,,,,,,,,,,,,hameeda begum[1]  aliya begum[2],,official website,
 pakistan,,,,indo-pakistan war of 1971,1934 (age 84–85)kohat| north west frontier province| british india,,,,,,,frontier corpsxxxi corps,,,,,,,,,,pakistani,,,,,,,,,,,,,,,lieutenant general,,,,,,,,, pakistan army,,,punjab regiment| pakistan army,,1956–1991
 pakistan,military college jhelum,,,indo-pakistani war of 1965chief of general staff indo-pakistani war of 1971,,,,chaudhry pervaiz elahi,,,,command and staff college7th infantry divisionnational defence university| pakistan,,,,,,,,,,pakistani,,,,,,,,,independent (politician),,,pakistani ambassador to moroccovice-chancellor of the punjab university,,lt gen,lt. gen,,,,,,,,, pakistan army,,,punjab regiment,,1954–1989
,government college university| lahoreking's college london,,,,(1893-02-06)6 february 1893sialkot| punjab| british raj(now pakistan),,,,,,,,,1 september 1985(1985-09-01) (aged 92)lahore| punjab| pakistan,,,,,,,,,,,,,,,,,all-india muslim league (before 1947)muslim league (1947–1958),,,,,,,,,,,,,,,,,,,,
