,Index,column,Query
587,103270,"{'Name', 'OrigName'}",tobacco
588,103643,"{'Name', 'OrigName'}",tobacco
589,104340,Remarks,narcotics
590,104347,Remarks,narcotics
591,104354,Remarks,narcotics
592,104363,Remarks,narcotics
593,104368,Remarks,narcotics
594,104373,Remarks,narcotics
595,104379,Remarks,narcotics
596,104386,Remarks,narcotics
597,104392,Remarks,narcotics
598,104400,Remarks,narcotics
599,104406,Remarks,narcotics
600,104410,Remarks,narcotics
601,104418,Remarks,narcotics
602,104425,Remarks,narcotics
603,104431,Remarks,narcotics
604,104438,Remarks,narcotics
605,104444,Remarks,narcotics
606,104450,Remarks,narcotics
607,104457,Remarks,narcotics
608,104464,Remarks,narcotics
609,104468,Remarks,narcotics
610,104473,Remarks,narcotics
611,104480,Remarks,narcotics
612,104486,Remarks,narcotics
613,104883,Remarks,tobacco
614,105454,Remarks,narcotics
615,105460,Remarks,narcotics
616,105468,Remarks,narcotics
617,105475,Remarks,narcotics
618,105481,Remarks,narcotics
619,105488,Remarks,narcotics
620,105494,Remarks,narcotics
621,105499,Remarks,narcotics
622,105505,Remarks,narcotics
623,105511,Remarks,narcotics
624,105519,Remarks,narcotics
625,105525,Remarks,narcotics
626,105530,Remarks,narcotics
627,105536,Remarks,narcotics
628,105541,Remarks,narcotics
629,105546,Remarks,narcotics
630,105551,Remarks,narcotics
631,105559,Remarks,narcotics
632,105562,Remarks,narcotics
633,105570,Remarks,narcotics
634,105574,Remarks,narcotics
635,105581,Remarks,narcotics
636,105586,Remarks,narcotics
637,105590,Remarks,narcotics
638,105596,Remarks,narcotics
639,105602,Remarks,narcotics
640,105608,Remarks,narcotics
641,105612,Remarks,narcotics
642,105616,Remarks,narcotics
643,105623,Remarks,narcotics
644,105627,Remarks,narcotics
645,105634,Remarks,narcotics
646,105640,Remarks,narcotics
647,105647,Remarks,narcotics
648,105652,Remarks,narcotics
649,105660,Remarks,narcotics
650,105667,Remarks,narcotics
651,105672,Remarks,narcotics
652,105676,Remarks,narcotics
653,105680,Remarks,narcotics
654,105686,Remarks,narcotics
655,105690,Remarks,narcotics
656,105696,Remarks,narcotics
657,105700,Remarks,narcotics
658,105707,Remarks,narcotics
659,105711,Remarks,narcotics
660,105719,Remarks,narcotics
661,105727,Remarks,narcotics
662,105733,Remarks,narcotics
663,105739,Remarks,narcotics
664,105746,Remarks,narcotics
665,105750,Remarks,narcotics
666,105756,Remarks,narcotics
667,105763,Remarks,narcotics
668,105771,Remarks,narcotics
669,105775,Remarks,narcotics
670,105780,Remarks,narcotics
671,105785,Remarks,narcotics
672,105791,Remarks,narcotics
673,105796,Remarks,narcotics
674,105801,Remarks,narcotics
675,105808,Remarks,narcotics
676,105815,Remarks,narcotics
677,105821,Remarks,narcotics
678,105825,Remarks,narcotics
679,105831,Remarks,narcotics
680,105842,Remarks,narcotics
681,105848,Remarks,narcotics
682,105852,Remarks,narcotics
683,105855,Remarks,narcotics
684,105861,Remarks,narcotics
685,105866,Remarks,narcotics
686,105872,Remarks,narcotics
687,105877,Remarks,narcotics
688,105883,Remarks,narcotics
689,105888,Remarks,narcotics
690,105894,Remarks,narcotics
691,105898,Remarks,narcotics
692,105903,Remarks,narcotics
693,105910,Remarks,narcotics
694,106021,Remarks,narcotics
695,106027,Remarks,narcotics
696,106033,Remarks,narcotics
697,106040,Remarks,narcotics
698,106043,Remarks,narcotics
699,106047,Remarks,narcotics
700,106052,Remarks,narcotics
701,106057,Remarks,narcotics
702,106062,Remarks,narcotics
703,106068,Remarks,narcotics
704,106074,Remarks,narcotics
705,106080,Remarks,narcotics
706,106084,Remarks,narcotics
707,106090,Remarks,narcotics
708,106097,Remarks,narcotics
709,106104,Remarks,narcotics
710,106113,Remarks,narcotics
711,106121,Remarks,narcotics
712,106125,Remarks,narcotics
713,106132,Remarks,narcotics
714,106349,"{'Name', 'OrigName'}",tobacco
715,106633,Remarks,drug
716,107257,Remarks,alcohol
717,108385,"{'Name', 'OrigName'}",tobacco
718,108968,Remarks,alcohol
719,108980,Remarks,alcohol
720,108983,Remarks,alcohol
721,109746,"{'Name', 'OrigName'}",tobacco
722,110725,"{'Name', 'OrigName'}",drugs
723,111048,"{'Name', 'OrigName'}",drugs
724,111051,"{'Name', 'OrigName'}",drugs
725,111581,"{'Name', 'OrigName'}",drugs
726,112653,"{'Name', 'OrigName'}",tobacco
727,114053,"{'Name', 'OrigName'}",tobacco
728,114121,"{'Name', 'OrigName'}",drugs
729,114510,"{'Name', 'OrigName'}",tobacco
730,114625,"{'Name', 'OrigName'}",tobacco
731,115103,"{'Name', 'OrigName'}",tobacco
732,115607,"{'Name', 'OrigName'}",tobacco
733,115630,"{'Name', 'OrigName'}",drugs
734,115632,"{'Name', 'OrigName'}",drugs
